,osm_type,osm_id,internal_id,query,latlong_score,name_score,name_has_substring,categories_score,address_score,addr_has_substring,confidence
616,node,3147072436,0x130e5ab3c1df90eb:0x5754adb6bd5f3bb8,"Curly Wurly, Triq Misraħ il-Barrieri, L-Imsida",6.690366208049474e-05,1.0,False,0.24,0.38,False,0.7429998145599369
617,node,6564664366,0x130e5ab40206d62b:0x44b3a02db55213ef,"Lifelong Learning Centre, Triq Qrejten",9.736118322986867e-05,1.0,False,1.0,0.67,True,0.8834997263886103
618,node,1501895885,0x130e5ab443ad3609:0xb6e36fa937560b2b,"Malta Post, Telgħet Gwardamangia, PTA 1310, Tal-Pietà",4.082070552994611e-05,0.95,False,1.0,0.7,False,0.8199998900673582
619,node,382217183,0x130e5ab466ee28cb:0x2cf246511b9b5bf4,"Jon's Pastizzeria, Msida Sea Front 3, Msida",4.351471015494712e-05,0.91,False,0.25,0.7,False,0.7329998822684977
620,node,5097003103,0x130e5ab47c41b13d:0x9cc5f7be38037689,"Buttiġieġ Tobacconist Msida, Msida Sea Front 19, Msida",1.619783936218103e-05,0.96,False,1.0,0.51,False,0.813499961347971
621,node,6945893166,0x130e5ab4bdf5cf4d:0x9e2e2184b2e1a571,"Pasta & Co Ristorante, Xatt ta' Ta' Xbiex, L-Imsida",8.19385135351474e-05,0.59,False,1.0,0.75,False,0.71449977103562
622,node,5929201723,0x130e5ab4bdfaf66b:0x5f89384457d25b7c,"Busy Bee Gelateria, Xatt ta' Ta' Xbiex 19, MSD 1512, L-Imsida",7.040738598003543e-05,1.0,False,1.0,0.81,False,0.8404998044170239
623,node,5894270938,0x130e5ab4be5ae7df:0xf4690182dc619a12,"Genki, Ta' Xbiex Seafront 21, MSD 1513, L-Imsida",1.3892803894715788e-05,0.5,True,1.0,0.84,False,0.7919999680208067
624,node,1511894303,0x130e5ab4c090f2d9:0xc4234bab77e5c910,"Busy Bee, ix-Xatt Ta' Xbiex 30, MSD 1513, L-Imsida",1.4091131962676749e-05,0.76,True,0.0,0.74,False,0.7649999674466679
625,way,739055923,0x130e5ab709e411b9:0x37737e63d3feb64,"Saint Martin's Institute, Schembri, HMR 1541, Hamrun",0.00028983837952160896,0.71,True,1.0,0.71,False,0.8484991691873313
626,way,275876162,0x130e5ab994ce70cb:0xae88ee03bcdfb680,"HSBC Bank - Hamrun Branch, Ħamrun",0.00010951287756864333,0.3,True,0.84,0.23,False,0.6854996912107306
627,node,5790653660,0x130e5aba21458627:0x54ed82ec3b6a5c3,"Joseph Cauchi Ironmongery, Triq Cordina Perez 9",9.69004643960264e-05,1.0,False,0.22,0.38,False,0.7409997277223429
628,way,139435691,0x130e5aba66b52c49:0x756c32d1b1014109,"Hamrun Chuch - San Gaetano, Ħamrun",6.369423602827354e-05,0.48,False,1.0,0.23,False,0.6554998238508883
629,node,4891464523,0x130e5aba8547c749:0xa69f62dc1782128f,"BOV, Triq il-Kbira San Ġużepp",8.474390833578311e-05,0.32,False,1.0,0.25,False,0.6084997629142965
630,node,2214546268,0x130e5abbd213c551:0x44291711358d7ff6,"vical interiors, Triq Hal-Qormi 84",0.00018029656125437176,0.88,True,0.69,0.54,False,0.8599994862993966
631,node,3999315624,0x130e5abd7e8b06f1:0xd78827563bda459e,"Marsa Sports Club/Chukkas, Marsa",2.5880494585417176e-05,0.44,True,1.0,0.21,True,0.7924999333177005
632,node,1116589867,0x130e5aca39a6cdf9:0x8337e59fa456023f,"Antonio Piscopo Co. Ltd, Triq Haz-Zabbar 117, Paola",7.341730041460009e-05,0.59,False,0.22,0.63,False,0.6304997957036377
633,node,7279181009,0x130e5accdb5ac955:0x6aa8f8d3eeb33945,"Office of the Commissioner for Revenue, Triq Vincenzo Dimech Block 4, FRN 1900, Floriana",2.8151376522576208e-05,1.0,False,1.0,0.77,False,0.8384999267437357
634,node,7257553402,0x130e5accfb00f22b:0xb0087d2d38a8fb34,"Tritoni Boutique Hotel, Triq Vincenzo Dimech 33, FRN 0170, Floriana",8.868923271659871e-05,1.0,False,1.0,0.8,False,0.8399997514929968
635,way,39000485,0x130e5acdbf5468f7:0xf701eeec68ff9df9,"St. Publius Parish Church, Pjazza San Publju",0.00022519300362192714,0.53,False,0.64,0.24,False,0.6349993563289087
636,node,7041397694,0x130e5acdd0b8ee1f:0xcc8eceee0b94b48c,"Chemimart, Triq Sant'Anna",7.828390639099817e-05,0.67,True,1.0,0.43,False,0.8224997816153241
637,way,554868166,0x130e5acdf06b2cf7:0x2b6c322de34f8e89,"Triq il-Kapuċċini, 1551, Marsa",0.014004939765161203,0.2,False,0.0,0.32,False,0.47595946540849554
638,node,156496732,0x130e5ace70f76c0d:0xd54a00be68fef31f,"Floriana Health Centre, Triq Frangisk Saver Fenech, Floriana",0.0003909901533283181,1.0,False,1.0,0.63,False,0.831498876363564
